Team1,Team2,Winner,Margin,Ground,T-20 Int Match,Team1 Avg Batting Ranking,Team2 Avg Batting Ranking,Team1 Avg Bowling Ranking,Team2 Avg Bowling Ranking,Team1 Total WCs participated,Team1 Total WCs won,Team2 Total WCs participated,Team2 Total WCs won,Team1 win % over Team2,Match Year,Match Month,Match Day,Margin (Runs),Margin (Wickets),Batting Ranking Difference,Bowling Ranking Difference
Ireland,Zimbabwe,Ireland,3 wickets,Sylhet,368,86.33,85.47,80.67,93.4,3,0,3,0,100.0,2014,3,17,0.0,3.0,0.8599999999999994,12.730000000000004
Hong Kong,Nepal,Nepal,80 runs,Chattogram,367,101.0,101.0,101.0,101.0,0,0,0,0,0.0,2014,3,16,80.0,0.0,0.0,0.0
Bangladesh,Afghanistan,Bangladesh,9 wickets,Mirpur,366,83.47,91.8,85.33,95.6,4,0,2,0,0.0,2014,3,16,0.0,9.0,8.329999999999998,10.269999999999996
England,West Indies,West Indies,4 wickets,Eden Gardens,557,72.33,75.13,88.4,78.07,5,1,5,1,33.3,2016,4,3,0.0,4.0,2.799999999999997,10.330000000000013
India,West Indies,West Indies,7 wickets,Wankhede,556,76.07,77.33,74.0,77.73,5,1,5,1,50.0,2016,3,31,0.0,7.0,1.2600000000000051,3.730000000000004
England,New Zealand,England,7 wickets,Delhi,555,74.2,80.47,93.8,73.2,5,1,5,0,61.53,2016,3,30,0.0,7.0,6.269999999999996,20.599999999999994
South Africa,Sri Lanka,South Africa,8 wickets,Delhi,554,80.47,89.6,77.4,77.4,5,0,5,1,60.0,2016,3,28,0.0,8.0,9.129999999999995,0.0
India,Australia,India,6 wickets,Mohali,553,76.13,74.13,76.0,80.67,5,1,5,0,66.6,2016,3,27,0.0,6.0,2.0,4.670000000000002
Afghanistan,West Indies,Afghanistan,6 runs,Nagpur,552,84.8,77.47,86.4,79.87,3,0,5,1,0.0,2016,3,27,6.0,0.0,7.329999999999998,6.530000000000001
England,Sri Lanka,England,10 runs,Delhi,551,75.47,90.67,96.27,78.8,5,1,5,1,42.85,2016,3,26,10.0,0.0,15.200000000000003,17.47
Bangladesh,New Zealand,New Zealand,75 runs,Eden Gardens,550,79.13,81.13,77.8,70.4,5,0,5,0,0.0,2016,3,26,75.0,0.0,2.0,7.3999999999999915
South Africa,West Indies,West Indies,3 wickets,Nagpur,549,78.6,77.93,78.8,81.6,5,0,5,1,66.6,2016,3,25,0.0,3.0,0.6699999999999875,2.799999999999997
Australia,Pakistan,Australia,21 runs,Mohali,548,73.93,74.4,81.6,81.27,5,0,5,1,38.46,2016,3,25,21.0,0.0,0.46999999999999886,0.3299999999999983
India,Bangladesh,India,1 run,Bengaluru,547,76.27,80.0,76.6,78.13,5,1,5,0,100.0,2016,3,23,0.0,0.0,3.730000000000004,1.5300000000000011
Afghanistan,England,England,15 runs,Delhi,546,84.67,74.93,86.93,97.73,3,0,5,1,0.0,2016,3,23,15.0,0.0,9.739999999999995,10.799999999999997
New Zealand,Pakistan,New Zealand,22 runs,Mohali,545,81.47,75.47,71.0,77.8,5,0,5,1,42.85,2016,3,22,22.0,0.0,6.0,6.799999999999997
Australia,Bangladesh,Australia,3 wickets,Bengaluru,544,76.6,79.87,82.33,78.27,5,0,5,0,100.0,2016,3,21,0.0,3.0,3.2700000000000102,4.060000000000002
Sri Lanka,West Indies,West Indies,7 wickets,Bengaluru,543,90.27,76.87,78.33,84.4,5,1,5,1,75.0,2016,3,20,0.0,7.0,13.399999999999991,6.070000000000007
Afghanistan,South Africa,South Africa,37 runs,Wankhede,542,84.27,78.13,86.07,79.07,3,0,5,0,0.0,2016,3,20,37.0,0.0,6.140000000000001,7.0
India,Pakistan,India,6 wickets,Eden Gardens,541,75.6,75.47,77.27,78.07,5,1,5,1,71.4,2016,3,19,0.0,6.0,0.12999999999999545,0.7999999999999972
England,South Africa,England,2 wickets,Wankhede,540,76.6,78.4,98.13,78.93,5,1,5,0,27.27,2016,3,18,0.0,2.0,1.8000000000000114,19.19999999999999
Australia,New Zealand,New Zealand,8 runs,Dharamsala,539,77.53,81.0,83.53,74.4,5,0,5,0,80.0,2016,3,18,8.0,0.0,3.469999999999999,9.129999999999995
Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Eden Gardens,538,84.8,90.47,86.0,79.2,5,0,5,1,0.0,2016,3,17,0.0,6.0,5.670000000000002,6.799999999999997
England,West Indies,West Indies,6 wickets,Wankhede,537,77.47,76.6,99.27,84.33,5,1,5,1,33.33,2016,3,16,0.0,6.0,0.8700000000000045,14.939999999999998
Bangladesh,Pakistan,Pakistan,55 runs,Eden Gardens,536,79.0,75.87,76.8,79.13,5,0,5,1,22.22,2016,3,16,55.0,0.0,3.1299999999999955,2.3299999999999983
India,New Zealand,New Zealand,47 runs,Nagpur,535,74.87,81.27,77.53,76.67,5,1,5,0,0.0,2016,3,15,47.0,0.0,6.3999999999999915,0.8599999999999994
Bangladesh,Oman,Bangladesh,54 runs,Dharamsala,534,80.07,96.93,77.2,99.6,5,0,0,0,0.0,2016,3,13,54.0,0.0,16.860000000000014,22.39999999999999
Ireland,Netherlands,Netherlands,12 runs,Dharamsala,533,89.0,83.67,86.73,82.27,4,0,2,0,40.0,2016,3,13,12.0,0.0,5.329999999999998,4.460000000000008
Hong Kong,Scotland,Scotland,8 wickets,Nagpur,532,97.53,90.13,87.13,94.0,1,0,2,0,0.0,2016,3,12,0.0,8.0,7.400000000000006,6.8700000000000045
Afghanistan,Zimbabwe,Afghanistan,59 runs,Nagpur,531,85.2,80.27,89.4,93.27,3,0,4,0,100.0,2016,3,12,59.0,0.0,4.930000000000007,3.8699999999999903
Bangladesh,Ireland,no result,-,Dharamsala,530,80.07,88.47,76.93,86.73,5,0,4,0,75.0,2016,3,11,0.0,0.0,8.400000000000006,9.799999999999997
Netherlands,Oman,no result,-,Dharamsala,529,83.13,96.47,82.13,99.67,2,0,0,0,0.0,2016,3,11,0.0,0.0,13.340000000000003,17.540000000000006
Afghanistan,Hong Kong,Afghanistan,6 wickets,Nagpur,528,85.53,97.27,90.27,85.47,3,0,1,0,0.0,2016,3,10,0.0,6.0,11.739999999999995,4.799999999999997
Scotland,Zimbabwe,Zimbabwe,11 runs,Nagpur,527,90.13,80.6,96.93,93.73,2,0,4,0,0.0,2016,3,10,11.0,0.0,9.530000000000001,3.200000000000003
Ireland,Oman,Oman,2 wickets,Dharamsala,525,89.0,96.8,86.8,100.27,4,0,0,0,0.0,2016,3,9,0.0,2.0,7.799999999999997,13.469999999999999
Bangladesh,Netherlands,Bangladesh,8 runs,Dharamsala,524,80.07,83.93,76.93,84.4,5,0,2,0,50.0,2016,3,9,8.0,0.0,3.8600000000000136,7.469999999999999
Afghanistan,Scotland,Afghanistan,14 runs,Nagpur,523,85.47,90.33,89.67,98.0,3,0,2,0,100.0,2016,3,8,14.0,0.0,4.859999999999999,8.329999999999998
Hong Kong,Zimbabwe,Zimbabwe,14 runs,Nagpur,522,96.8,80.73,87.33,93.4,1,0,4,0,0.0,2016,3,8,14.0,0.0,16.069999999999993,6.070000000000007
Australia,New Zealand,Australia,8 wickets,Dubai (DICS),1428,81.94,75.67,76.33,77.8,6,0,6,0,64.28,2021,11,14,0.0,8.0,6.269999999999996,1.4699999999999989
Australia,Pakistan,Australia,5 wickets,Dubai (DICS),1420,82.67,81.13,76.94,87.07,6,0,6,1,39.13,2021,11,11,0.0,5.0,1.5400000000000063,10.129999999999995
England,New Zealand,New Zealand,5 wickets,Abu Dhabi,1415,74.13,76.27,73.87,78.07,6,1,6,0,57.14,2021,11,10,0.0,5.0,2.1400000000000006,4.199999999999989
India,Namibia,India,9 wickets,Dubai (DICS),1410,85.2,91.87,86.93,95.27,6,1,0,0,0.0,2021,11,8,0.0,9.0,6.670000000000002,8.33999999999999
Pakistan,Scotland,Pakistan,72 runs,Sharjah,1406,81.33,87.87,87.2,89.8,6,1,3,0,100.0,2021,11,7,72.0,0.0,6.540000000000006,2.5999999999999943
Afghanistan,New Zealand,New Zealand,8 wickets,Abu Dhabi,1402,85.4,76.8,83.93,78.8,4,0,6,0,0.0,2021,11,7,0.0,8.0,8.600000000000009,5.13000000000001
England,South Africa,South Africa,10 runs,Sharjah,1400,74.6,70.07,76.33,74.2,6,1,6,0,52.38,2021,11,6,10.0,0.0,4.530000000000001,2.1299999999999955
Australia,West Indies,Australia,8 wickets,Abu Dhabi,1398,83.94,82.07,76.61,89.47,6,0,6,2,37.5,2021,11,6,0.0,8.0,1.8700000000000045,12.86
India,Scotland,India,8 wickets,Dubai (DICS),1396,84.67,87.07,86.67,87.73,6,1,3,0,100.0,2021,11,5,0.0,8.0,2.3999999999999915,1.0600000000000023
Namibia,New Zealand,New Zealand,52 runs,Sharjah,1394,91.67,76.93,95.53,79.07,0,0,6,0,0.0,2021,11,5,52.0,0.0,14.739999999999995,16.460000000000008
Sri Lanka,West Indies,Sri Lanka,20 runs,Abu Dhabi,1392,95.5,84.2,93.07,89.8,6,1,6,2,50.0,2021,11,4,20.0,0.0,11.299999999999997,3.269999999999996
Australia,Bangladesh,Australia,8 wickets,Dubai (DICS),1391,83.83,85.67,77.67,83.87,6,0,6,0,55.55,2021,11,4,0.0,8.0,1.8400000000000034,6.200000000000003
Afghanistan,India,India,66 runs,Abu Dhabi,1390,85.07,84.33,83.87,86.67,4,0,6,1,0.0,2021,11,3,66.0,0.0,0.7399999999999949,2.799999999999997
New Zealand,Scotland,New Zealand,16 runs,Dubai (DICS),1388,76.73,86.67,79.33,87.53,6,0,3,0,100.0,2021,11,3,16.0,0.0,9.939999999999998,8.200000000000003
Namibia,Pakistan,Pakistan,45 runs,Abu Dhabi,1386,93.13,81.13,95.6,87.67,0,0,6,1,0.0,2021,11,2,45.0,0.0,12.0,7.929999999999993
Bangladesh,South Africa,South Africa,6 wickets,Abu Dhabi,1384,84.73,70.2,83.8,79.8,6,0,6,0,0.0,2021,11,2,0.0,6.0,14.530000000000001,4.0
England,Sri Lanka,England,26 runs,Sharjah,1382,74.2,95.5,77.87,94.36,6,1,6,1,66.66,2021,11,1,26.0,0.0,21.299999999999997,16.489999999999995
India,New Zealand,New Zealand,8 wickets,Dubai (DICS),1381,83.6,76.67,86.33,82.2,6,1,6,0,37.5,2021,10,31,0.0,8.0,6.929999999999993,4.1299999999999955
Afghanistan,Namibia,Afghanistan,62 runs,Abu Dhabi,1380,84.8,92.27,83.8,94.13,4,0,0,0,0.0,2021,10,31,62.0,0.0,7.469999999999999,10.329999999999998
Australia,England,England,8 wickets,Dubai (DICS),1379,83.83,73.93,76.72,77.27,6,0,6,1,53.63,2021,10,30,0.0,8.0,9.899999999999991,0.5499999999999972
South Africa,Sri Lanka,South Africa,4 wickets,Sharjah,1378,72.33,95.86,81.93,94.21,6,0,6,1,62.5,2021,10,30,0.0,4.0,23.53,12.279999999999987
Afghanistan,Pakistan,Pakistan,5 wickets,Dubai (DICS),1377,84.33,81.53,83.27,88.33,4,0,6,1,0.0,2021,10,29,0.0,5.0,2.799999999999997,5.060000000000002
Bangladesh,West Indies,West Indies,3 runs,Sharjah,1375,84.4,84.67,83.07,91.07,6,0,6,2,41.66,2021,10,29,3.0,0.0,0.269999999999996,8.0
Australia,Sri Lanka,Australia,7 wickets,Dubai (DICS),1374,84.44,96.71,77.67,93.07,6,0,6,1,50.0,2021,10,28,0.0,7.0,12.269999999999996,15.399999999999991
Namibia,Scotland,Namibia,4 wickets,Abu Dhabi,1371,92.0,86.13,94.6,87.67,0,0,3,0,100.0,2021,10,27,0.0,4.0,5.8700000000000045,6.929999999999993
Bangladesh,England,England,8 wickets,Abu Dhabi,1369,84.0,73.07,83.33,76.73,6,0,6,1,0.0,2021,10,27,0.0,8.0,10.930000000000007,6.599999999999994
New Zealand,Pakistan,Pakistan,5 wickets,Sharjah,1367,76.67,81.13,82.07,88.13,6,0,6,1,41.66,2021,10,26,0.0,5.0,4.459999999999994,6.060000000000002
South Africa,West Indies,South Africa,8 wickets,Dubai (DICS),1366,71.73,84.67,83.6,91.6,6,0,6,2,60.0,2021,10,26,0.0,8.0,12.939999999999998,8.0
Afghanistan,Scotland,Afghanistan,130 runs,Sharjah,1364,81.6,86.0,83.07,87.47,4,0,3,0,100.0,2021,10,25,130.0,0.0,4.400000000000006,4.400000000000006
India,Pakistan,Pakistan,10 wickets,Dubai (DICS),1361,84.33,81.47,85.33,88.93,6,1,6,1,75.0,2021,10,24,0.0,10.0,2.8599999999999994,3.6000000000000085
Bangladesh,Sri Lanka,Sri Lanka,5 wickets,Sharjah,1357,85.13,96.71,83.6,93.14,6,0,6,1,36.36,2021,10,24,0.0,5.0,11.579999999999998,9.540000000000006
England,West Indies,England,6 wickets,Dubai (DICS),1354,72.47,84.13,76.07,90.33,6,1,6,2,38.88,2021,10,23,0.0,6.0,11.659999999999997,14.260000000000005
Australia,South Africa,Australia,5 wickets,Abu Dhabi,1351,84.78,71.6,79.44,84.73,6,0,6,0,61.9,2021,10,23,0.0,5.0,13.180000000000007,5.290000000000006
Netherlands,Sri Lanka,Sri Lanka,8 wickets,Sharjah,1346,92.87,96.71,92.8,92.71,3,0,6,1,0.0,2021,10,22,0.0,8.0,3.839999999999989,0.09000000000000341
Ireland,Namibia,Namibia,8 wickets,Sharjah,1342,90.53,93.0,93.93,95.4,5,0,0,0,100.0,2021,10,22,0.0,8.0,2.469999999999999,1.4699999999999989
Oman,Scotland,Scotland,8 wickets,Al Amerat,1338,94.0,86.4,92.73,87.47,1,0,3,0,0.0,2021,10,21,0.0,8.0,7.599999999999994,5.260000000000005
Bangladesh,PNG,Bangladesh,84 runs,Al Amerat,1334,84.93,94.67,83.33,98.53,6,0,0,0,0.0,2021,10,21,84.0,0.0,9.739999999999995,15.200000000000003
Ireland,Sri Lanka,Sri Lanka,70 runs,Abu Dhabi,1331,89.6,96.57,93.0,92.5,5,0,6,1,100.0,2021,10,20,70.0,0.0,6.969999999999999,0.5
Namibia,Netherlands,Namibia,6 wickets,Abu Dhabi,1327,93.33,92.73,96.0,92.73,0,0,3,0,0.0,2021,10,20,0.0,6.0,0.5999999999999943,3.269999999999996
Oman,Bangladesh,Bangladesh,26 runs,Al Amerat,1322,93.73,85.73,92.4,83.07,1,0,6,0,0.0,2021,10,19,26.0,0.0,8.0,9.330000000000013
PNG,Scotland,Scotland,17 runs,Al Amerat,1318,95.07,85.93,97.8,87.07,0,0,3,0,0.0,2021,10,19,17.0,0.0,9.139999999999986,10.730000000000004
Namibia,Sri Lanka,Sri Lanka,7 wickets,Abu Dhabi,1313,93.67,96.5,95.8,91.79,0,0,6,1,0.0,2021,10,18,0.0,7.0,2.8299999999999983,4.009999999999991
Ireland,Netherlands,Ireland,7 wickets,Abu Dhabi,1312,90.93,92.6,93.53,93.53,5,0,3,0,0.0,2021,10,18,0.0,7.0,1.6699999999999875,0.0
Bangladesh,Scotland,Scotland,6 runs,Al Amerat,1311,85.53,85.6,82.93,86.6,6,0,3,0,0.0,2021,10,17,6.0,0.0,0.06999999999999318,3.6699999999999875
Oman,PNG,Oman,10 wickets,Al Amerat,1307,94.87,96.33,92.53,97.27,1,0,0,0,0.0,2021,10,17,0.0,10.0,1.4599999999999937,4.739999999999995
England,Pakistan,England,5 wickets,Melbourne,1879,76.2,82.67,72.33,83.0,7,1,7,1,60.71,2022,11,13,0.0,5.0,6.469999999999999,10.670000000000002
England,India,England,10 wickets,Adelaide,1878,77.6,79.13,72.53,71.67,7,1,7,1,45.45,2022,11,10,0.0,10.0,1.5300000000000011,0.8599999999999994
New Zealand,Pakistan,Pakistan,7 wickets,Sydney,1877,69.67,82.8,70.13,83.6,7,0,7,1,39.28,2022,11,9,0.0,7.0,13.129999999999995,13.469999999999999
India,Zimbabwe,India,71 runs,Melbourne,1873,79.0,97.27,71.47,91.0,7,1,5,0,71.42,2022,11,6,71.0,0.0,18.269999999999996,19.53
Bangladesh,Pakistan,Pakistan,5 wickets,Adelaide,1872,98.27,83.13,83.2,83.33,7,0,7,1,11.76,2022,11,6,0.0,5.0,15.14,0.12999999999999545
Netherlands,South Africa,Netherlands,13 runs,Adelaide,1871,97.12,65.5,96.5,67.43,4,0,7,0,0.0,2022,11,6,13.0,0.0,31.620000000000005,29.069999999999993
England,Sri Lanka,England,4 wickets,Sydney,1867,78.87,79.62,72.93,87.54,7,1,7,1,69.23,2022,11,5,0.0,4.0,0.75,14.61
Australia,Afghanistan,Australia,4 runs,Adelaide,1864,75.33,85.87,73.6,82.87,7,1,5,0,0.0,2022,11,4,4.0,0.0,10.540000000000006,9.27000000000001
Ireland,New Zealand,New Zealand,35 runs,Adelaide,1862,93.53,70.07,98.4,69.6,6,0,7,0,0.0,2022,11,4,35.0,0.0,23.460000000000008,28.80000000000001
Pakistan,South Africa,Pakistan,33 runs,Sydney,1861,83.2,66.71,83.73,67.14,7,1,7,0,52.38,2022,11,3,33.0,0.0,16.49000000000001,16.590000000000003
Bangladesh,India,India,5 runs,Adelaide,1860,98.2,78.53,84.07,70.73,7,0,7,1,9.0,2022,11,2,5.0,0.0,19.67,13.33999999999999
Netherlands,Zimbabwe,Netherlands,5 wickets,Adelaide,1859,97.19,97.8,97.31,91.33,4,0,5,0,25.0,2022,11,2,0.0,5.0,0.6099999999999994,5.980000000000004
England,New Zealand,England,20 runs,Brisbane,1858,81.13,69.87,72.8,69.4,7,1,7,0,54.54,2022,11,1,20.0,0.0,11.259999999999991,3.3999999999999915
Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Brisbane,1856,86.33,80.31,82.93,87.31,5,0,7,1,33.33,2022,11,1,0.0,6.0,6.019999999999996,4.3799999999999955
Australia,Ireland,Australia,42 runs,Brisbane,1855,75.2,94.13,73.0,98.0,7,1,6,0,100.0,2022,10,31,42.0,0.0,18.929999999999993,25.0
India,South Africa,South Africa,5 wickets,Perth,1853,78.27,66.21,71.33,69.71,7,1,7,0,56.52,2022,10,30,0.0,5.0,12.060000000000002,1.6200000000000045
Netherlands,Pakistan,Pakistan,6 wickets,Perth,1852,96.81,83.0,95.88,84.87,4,0,7,1,0.0,2022,10,30,0.0,6.0,13.810000000000002,11.009999999999991
Bangladesh,Zimbabwe,Bangladesh,3 runs,Brisbane,1851,98.33,97.87,84.6,91.87,7,0,4,0,63.15,2022,10,30,3.0,0.0,0.45999999999999375,7.27000000000001
New Zealand,Sri Lanka,New Zealand,65 runs,Sydney,1850,69.6,80.77,69.87,86.54,7,0,7,1,52.63,2022,10,29,65.0,0.0,11.170000000000002,16.67
Pakistan,Zimbabwe,Zimbabwe,1 run,Perth,1849,83.67,98.4,84.2,91.8,7,1,4,0,94.11,2022,10,27,0.0,0.0,14.730000000000004,7.599999999999994
India,Netherlands,India,56 runs,Sydney,1848,78.27,96.81,71.73,96.25,7,1,4,0,0.0,2022,10,27,56.0,0.0,18.540000000000006,24.519999999999996
Bangladesh,South Africa,South Africa,104 runs,Sydney,1847,98.2,66.86,85.33,70.57,7,0,7,0,0.0,2022,10,27,104.0,0.0,31.340000000000003,14.760000000000005
England,Ireland,Ireland,5 runs,Melbourne,1846,80.8,94.13,72.33,98.27,7,1,6,0,0.0,2022,10,26,5.0,0.0,13.329999999999998,25.939999999999998
Australia,Sri Lanka,Australia,7 wickets,Perth,1845,76.47,80.0,73.2,87.38,7,1,7,1,56.0,2022,10,25,0.0,7.0,3.530000000000001,14.179999999999993
South Africa,Zimbabwe,no result,-,Hobart,1844,65.64,97.6,70.71,89.2,7,0,5,0,100.0,2022,10,24,0.0,0.0,31.959999999999994,18.49000000000001
Bangladesh,Netherlands,Bangladesh,9 runs,Hobart,1843,98.07,96.44,85.73,96.38,7,0,4,0,66.66,2022,10,24,9.0,0.0,1.6299999999999955,10.649999999999991
India,Pakistan,India,4 wickets,Melbourne,1842,78.47,86.13,72.93,85.4,7,1,7,1,63.63,2022,10,23,0.0,4.0,7.659999999999997,12.469999999999999
Ireland,Sri Lanka,Sri Lanka,9 wickets,Hobart,1841,94.47,80.31,97.93,87.85,6,0,7,1,0.0,2022,10,23,0.0,9.0,14.159999999999997,10.080000000000013
Afghanistan,England,England,5 wickets,Perth,1840,88.47,81.73,83.67,73.13,5,0,7,1,0.0,2022,10,22,0.0,5.0,6.739999999999995,10.540000000000006
Australia,New Zealand,New Zealand,89 runs,Sydney,1839,74.87,70.47,72.53,70.07,7,1,7,0,66.66,2022,10,22,89.0,0.0,4.400000000000006,2.460000000000008
Scotland,Zimbabwe,Zimbabwe,5 wickets,Hobart,1838,92.87,97.67,94.0,89.73,4,0,5,0,28.57,2022,10,21,0.0,5.0,4.799999999999997,4.269999999999996
Ireland,West Indies,Ireland,9 wickets,Hobart,1837,95.33,82.47,98.13,79.6,6,0,7,2,28.57,2022,10,21,0.0,9.0,12.86,18.53
Namibia,UAE,UAE,7 runs,Geelong,1836,97.31,92.73,93.81,97.67,1,0,1,0,100.0,2022,10,20,7.0,0.0,4.579999999999998,3.8599999999999994
Netherlands,Sri Lanka,Sri Lanka,16 runs,Geelong,1835,96.56,81.23,96.5,88.08,4,0,7,1,0.0,2022,10,20,16.0,0.0,15.329999999999998,8.420000000000002
West Indies,Zimbabwe,West Indies,31 runs,Hobart,1834,82.4,97.67,81.27,90.13,7,2,5,0,66.66,2022,10,19,31.0,0.0,15.269999999999996,8.86
Ireland,Scotland,Ireland,6 wickets,Hobart,1833,95.2,92.87,98.2,93.73,6,0,4,0,53.84,2022,10,19,0.0,6.0,2.3299999999999983,4.469999999999999
Sri Lanka,UAE,Sri Lanka,79 runs,Geelong,1832,81.15,92.53,87.54,97.53,7,1,1,0,100.0,2022,10,18,79.0,0.0,11.379999999999995,9.989999999999995
Namibia,Netherlands,Netherlands,5 wickets,Geelong,1830,97.19,97.5,94.0,96.88,1,0,4,0,0.0,2022,10,18,0.0,5.0,0.3100000000000023,2.8799999999999955
Ireland,Zimbabwe,Zimbabwe,31 runs,Hobart,1828,94.67,98.0,98.13,90.8,6,0,5,0,62.5,2022,10,17,31.0,0.0,3.3299999999999983,7.329999999999998
Scotland,West Indies,Scotland,42 runs,Hobart,1826,92.87,82.0,94.0,81.87,4,0,7,2,0.0,2022,10,17,42.0,0.0,10.870000000000005,12.129999999999995
Netherlands,UAE,Netherlands,3 wickets,Geelong,1825,97.62,92.13,97.19,97.73,4,0,1,0,55.55,2022,10,16,0.0,3.0,5.490000000000009,0.5400000000000063
Namibia,Sri Lanka,Namibia,55 runs,Geelong,1823,97.69,80.85,95.25,86.92,1,0,7,1,0.0,2022,10,16,55.0,0.0,16.840000000000003,8.329999999999998
India,South Africa,India,7 runs,Bridgetown,2729,75.67,76.67,70.67,75.93,8,1,8,0,53.84,2024,6,29,7.0,0.0,1.0,5.260000000000005
England,India,India,68 runs,Providence,2724,76.0,75.27,73.27,70.73,8,2,8,1,47.82,2024,6,27,68.0,0.0,0.730000000000004,2.539999999999992
Afghanistan,South Africa,South Africa,9 wickets,Tarouba,2723,85.4,76.6,87.73,79.0,6,0,8,0,0.0,2024,6,26,0.0,9.0,8.800000000000011,8.730000000000004
Afghanistan,Bangladesh,Afghanistan,8 runs,Kingstown,2722,85.07,93.0,87.33,79.53,6,0,8,0,54.54,2024,6,24,8.0,0.0,7.930000000000007,7.799999999999997
Australia,India,India,24 runs,Gros Islet,2721,65.33,76.67,69.53,71.33,8,1,8,1,35.48,2024,6,24,24.0,0.0,11.340000000000003,1.7999999999999972
West Indies,South Africa,South Africa,3 wickets,North Sound,2720,73.93,77.0,82.33,79.27,8,2,8,0,50.0,2024,6,23,0.0,3.0,3.069999999999993,3.0600000000000023
England,USA,England,10 wickets,Bridgetown,2719,75.87,97.8,72.6,100.93,8,2,0,0,0.0,2024,6,23,0.0,10.0,21.929999999999993,28.330000000000013
Afghanistan,Australia,Afghanistan,21 runs,Kingstown,2717,85.87,64.93,87.67,69.33,6,0,8,1,0.0,2024,6,22,21.0,0.0,20.939999999999998,18.340000000000003
Bangladesh,India,India,50 runs,North Sound,2716,92.53,79.07,80.27,71.93,8,0,8,1,7.6,2024,6,22,50.0,0.0,13.460000000000008,8.33999999999999
West Indies,USA,West Indies,9 wickets,Bridgetown,2713,75.47,97.87,82.8,100.73,8,2,0,0,0.0,2024,6,21,0.0,9.0,22.400000000000006,17.930000000000007
England,South Africa,South Africa,7 runs,Gros Islet,2712,76.4,77.33,72.73,80.13,8,2,8,0,48.0,2024,6,21,7.0,0.0,0.9299999999999926,7.3999999999999915
Australia,Bangladesh,Australia,28 runs,North Sound,2711,64.2,92.67,70.07,78.4,8,1,8,0,60.0,2024,6,20,28.0,0.0,28.47,8.330000000000013
Afghanistan,India,India,47 runs,Bridgetown,2710,85.47,79.47,87.0,73.67,6,0,8,1,0.0,2024,6,20,47.0,0.0,6.0,13.329999999999998
West Indies,England,England,8 wickets,Gros Islet,2709,76.2,76.67,83.2,73.13,8,2,8,2,58.62,2024,6,19,0.0,8.0,0.46999999999999886,10.070000000000007
South Africa,USA,South Africa,18 runs,North Sound,2708,77.6,101.0,79.87,101.0,8,0,0,0,0.0,2024,6,19,18.0,0.0,23.400000000000006,21.129999999999995
West Indies,Afghanistan,West Indies,104 runs,Gros Islet,2703,77.53,84.87,84.47,86.33,8,2,6,0,57.14,2024,6,17,104.0,0.0,7.340000000000003,1.8599999999999994
New Zealand,PNG,New Zealand,7 wickets,Tarouba,2702,76.27,99.07,71.53,101.0,8,0,1,0,0.0,2024,6,17,0.0,7.0,22.799999999999997,29.47
Netherlands,Sri Lanka,Sri Lanka,83 runs,Gros Islet,2699,94.27,86.73,91.07,91.93,5,0,8,1,0.0,2024,6,16,83.0,0.0,7.539999999999992,0.8600000000000136
Bangladesh,Nepal,Bangladesh,21 runs,Kingstown,2698,91.73,98.93,80.13,100.47,8,0,1,0,100.0,2024,6,16,21.0,0.0,7.200000000000003,20.340000000000003
Ireland,Pakistan,Pakistan,3 wickets,Lauderhill,2697,93.6,82.33,96.13,87.4,7,0,8,1,25.0,2024,6,16,0.0,3.0,11.269999999999996,8.72999999999999
Australia,Scotland,Australia,5 wickets,Gros Islet,2689,64.07,94.8,69.27,95.07,8,1,5,0,0.0,2024,6,15,0.0,5.0,30.730000000000004,25.799999999999997
England,Namibia,England,41 runs,North Sound,2688,77.13,99.19,72.53,99.94,8,2,2,0,0.0,2024,6,15,41.0,0.0,22.060000000000002,27.409999999999997
New Zealand,Uganda,New Zealand,9 wickets,Tarouba,2682,75.73,101.0,71.67,101.0,8,0,0,0,0.0,2024,6,14,0.0,9.0,25.269999999999996,29.33
Nepal,South Africa,South Africa,1 run,Kingstown,2681,100.13,77.07,100.73,79.47,1,0,8,0,0.0,2024,6,14,0.0,0.0,23.060000000000002,21.260000000000005
Afghanistan,PNG,Afghanistan,7 wickets,Tarouba,2679,84.53,98.87,86.47,101.0,6,0,1,0,100.0,2024,6,13,0.0,7.0,14.340000000000003,14.530000000000001
England,Oman,England,8 wickets,North Sound,2678,77.0,101.0,72.2,101.0,8,2,2,0,0.0,2024,6,13,0.0,8.0,24.0,28.799999999999997
Bangladesh,Netherlands,Bangladesh,25 runs,Kingstown,2677,92.87,94.8,80.47,91.53,8,0,5,0,75.0,2024,6,13,25.0,0.0,1.9299999999999926,11.060000000000002
West Indies,New Zealand,West Indies,13 runs,Tarouba,2672,79.6,75.13,84.87,72.53,8,2,8,0,21.05,2024,6,12,13.0,0.0,4.469999999999999,12.340000000000003
USA,India,India,7 wickets,New York,2671,100.33,79.27,101.0,74.53,0,0,8,1,0.0,2024,6,12,0.0,7.0,21.060000000000002,26.47
Australia,Namibia,Australia,9 wickets,North Sound,2666,64.33,98.94,74.13,99.38,8,1,2,0,0.0,2024,6,11,0.0,9.0,34.61,25.25
